asset_id,type,section,name_ru,name_latin,local_path,source_url,source_page,author,license,license_url,attribution_required,status,risk,decision,permission_candidate,notes
species-image:Горлица,species_image,species catalog,Горлица,Streptopelia turtur,backend/media/species/streptopelia-turtur.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/European_Turtle_Dove_%28Streptopelia_turtur%29.jpg/960px-European_Turtle_Dove_%28Streptopelia_turtur%29.jpg,https://commons.wikimedia.org/wiki/File:European_Turtle_Dove_(Streptopelia_turtur).jpg,Yuvalr,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:European Turtle Dove (Streptopelia turtur).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Грач,species_image,species catalog,Грач,Corvus frugilegus,backend/media/species/corvus-frugilegus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Corvus_frugilegus_-Dartmoor%2C_Devon%2C_England-8.jpg/960px-Corvus_frugilegus_-Dartmoor%2C_Devon%2C_England-8.jpg,"https://commons.wikimedia.org/wiki/File:Corvus_frugilegus_-Dartmoor,_Devon,_England-8.jpg","Brian Snelson from Hockley, Essex, England",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:Corvus frugilegus -Dartmoor, Devon, England-8.jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Длиннохвостая неясыть,species_image,species catalog,Длиннохвостая неясыть,Strix uralensis,backend/media/species/strix-uralensis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/2012-11-01_Ural_Owl%2C_Novosibirsk_Oblast%2C_Russia.jpg/960px-2012-11-01_Ural_Owl%2C_Novosibirsk_Oblast%2C_Russia.jpg,"https://commons.wikimedia.org/wiki/File:2012-11-01_Ural_Owl,_Novosibirsk_Oblast,_Russia.jpg","Tatiana Bulyonkova from Novosibirsk, Russia",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:2012-11-01 Ural Owl, Novosibirsk Oblast, Russia.jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Домовый воробей,species_image,species catalog,Домовый воробей,Passer domesticus,backend/media/species/passer-domesticus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg/960px-House_sparrow_male_in_Prospect_Park_%2853532%29.jpg,https://commons.wikimedia.org/wiki/File:House_sparrow_male_in_Prospect_Park_(53532).jpg,Rhododendrites,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:House sparrow male in Prospect Park (53532).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Дупель,species_image,species catalog,Дупель,Gallinago media,backend/media/species/gallinago-media.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Gallinago_media_kilnsea.jpg,https://commons.wikimedia.org/wiki/File:Gallinago_media_kilnsea.jpg,Jimfbleak,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Gallinago media kilnsea.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Желна,species_image,species catalog,Желна,Dryocopus martius,backend/media/species/dryocopus-martius.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/BlackWoods.jpg/960px-BlackWoods.jpg,https://commons.wikimedia.org/wiki/File:BlackWoods.jpg,"Alastair Rae from London, United Kingdom",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:BlackWoods.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Змееяд,species_image,species catalog,Змееяд,Circaetus gallicus,backend/media/species/circaetus-gallicus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Circaetus_gallicus_-_Short-toed_snake-eagle%C4%B1_02-1.jpg/960px-Circaetus_gallicus_-_Short-toed_snake-eagle%C4%B1_02-1.jpg,https://commons.wikimedia.org/wiki/File:Circaetus_gallicus_-_Short-toed_snake-eagle%C4%B1_02-1.jpg,Zeynel Cebeci,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Circaetus gallicus - Short-toed snake-eagleı 02-1.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Клинтух,species_image,species catalog,Клинтух,Columba oenas,backend/media/species/columba-oenas.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/2019-03-17_Columba_oenas%2C_Jesmond_Dene_1.jpg/960px-2019-03-17_Columba_oenas%2C_Jesmond_Dene_1.jpg,"https://commons.wikimedia.org/wiki/File:2019-03-17_Columba_oenas,_Jesmond_Dene_1.jpg",MPF,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:2019-03-17 Columba oenas, Jesmond Dene 1.jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Козодой,species_image,species catalog,Козодой,Caprimulgus europaeus,backend/media/species/caprimulgus-europaeus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Caprimulgus_europaeus_g.JPG/960px-Caprimulgus_europaeus_g.JPG,https://commons.wikimedia.org/wiki/File:Caprimulgus_europaeus_g.JPG,P.Taszynski,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Caprimulgus europaeus g.JPG; exact taxon match; normalized to local JPEG without EXIF.
species-image:Красношейная поганка,species_image,species catalog,Красношейная поганка,Podiceps auritus,backend/media/species/podiceps-auritus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Podiceps_auritus_%2813909575538%29_%28cropped%29.jpg/960px-Podiceps_auritus_%2813909575538%29_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Podiceps_auritus_(13909575538)_(cropped).jpg,"Ekaterina Chernetsova (Papchinskaya) from Saint-Petersburg, Russia",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Podiceps auritus (13909575538) (cropped).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Кулик-сорока,species_image,species catalog,Кулик-сорока,Haematopus ostralegus,backend/media/species/haematopus-ostralegus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Haematopus_ostralegus_He.jpg/960px-Haematopus_ostralegus_He.jpg,https://commons.wikimedia.org/wiki/File:Haematopus_ostralegus_He.jpg,Andreas Trepte,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Haematopus ostralegus He.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Ласточка деревенская,species_image,species catalog,Ласточка деревенская,Hirundo rustica,backend/media/species/hirundo-rustica.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Barn_Swallow_%2895504589%29.jpeg/960px-Barn_Swallow_%2895504589%29.jpeg,https://commons.wikimedia.org/wiki/File:Barn_Swallow_(95504589).jpeg,Morhaf Aljanee,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Barn Swallow (95504589).jpeg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Лесной жаворонок,species_image,species catalog,Лесной жаворонок,Lullula arborea,backend/media/species/lullula-arborea.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Lullula_arborea_%28J%C3%A1n_Svetl%C3%ADk%29.jpg/960px-Lullula_arborea_%28J%C3%A1n_Svetl%C3%ADk%29.jpg,https://commons.wikimedia.org/wiki/File:Lullula_arborea_(J%C3%A1n_Svetl%C3%ADk).jpg,Ján Svetlík,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Lullula arborea (Ján Svetlík).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Малая поганка,species_image,species catalog,Малая поганка,Tachybaptus ruficollis,backend/media/species/tachybaptus-ruficollis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Little_Grebe_-_Tachybaptus_ruficollis_15-1.jpg/960px-Little_Grebe_-_Tachybaptus_ruficollis_15-1.jpg,https://commons.wikimedia.org/wiki/File:Little_Grebe_-_Tachybaptus_ruficollis_15-1.jpg,Zeynel Cebeci,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Little Grebe - Tachybaptus ruficollis 15-1.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Мохноногий сыч,species_image,species catalog,Мохноногий сыч,Aegolius funereus,backend/media/species/aegolius-funereus.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Aegolius-funereus-001.jpg,https://commons.wikimedia.org/wiki/File:Aegolius-funereus-001.jpg,Mdf,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Aegolius-funereus-001.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Обыкновенная кукушка,species_image,species catalog,Обыкновенная кукушка,Cuculus canorus,backend/media/species/cuculus-canorus.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Cuculus_canorus_vogelartinfo_chris_romeiks_CHR0791_cropped.jpg,https://commons.wikimedia.org/wiki/File:Cuculus_canorus_vogelartinfo_chris_romeiks_CHR0791_cropped.jpg,Cuculus_canorus_vogelartinfo_chris_romeiks_CHR0791.jpg: Vogelartinfo derivative work: Bogbumper (talk),GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.html,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Cuculus canorus vogelartinfo chris romeiks CHR0791 cropped.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Обыкновенный скворец,species_image,species catalog,Обыкновенный скворец,Sturnus vulgaris,backend/media/species/sturnus-vulgaris.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Common_Starling%2C_Blyth_%2812598795653%29.jpg/960px-Common_Starling%2C_Blyth_%2812598795653%29.jpg,"https://commons.wikimedia.org/wiki/File:Common_Starling,_Blyth_(12598795653).jpg",marsupium photography,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:Common Starling, Blyth (12598795653).jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Обыкновенный соловей,species_image,species catalog,Обыкновенный соловей,Luscinia luscinia,backend/media/species/luscinia-luscinia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Luscinia_luscinia_vogelartinfo_chris_romeiks_CHR3635.jpg/960px-Luscinia_luscinia_vogelartinfo_chris_romeiks_CHR3635.jpg,https://commons.wikimedia.org/wiki/File:Luscinia_luscinia_vogelartinfo_chris_romeiks_CHR3635.jpg,Vogelartinfo,GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.html,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Luscinia luscinia vogelartinfo chris romeiks CHR3635.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Орел карлик,species_image,species catalog,Орел карлик,Hieraaetus pennatus,backend/media/species/hieraaetus-pennatus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/%C3%81guila_calzada.JPG/960px-%C3%81guila_calzada.JPG,https://commons.wikimedia.org/wiki/File:%C3%81guila_calzada.JPG,Vicente Zumel,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Águila calzada.JPG; exact taxon match; normalized to local JPEG without EXIF.
species-image:Орлан белохвост,species_image,species catalog,Орлан белохвост,Haliaeetus albicilla,backend/media/species/haliaeetus-albicilla.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Adult_White-tailed_Eagle_defending_prey%2C_Rezerwat_Gostynin-Wloclawek%2C_Poland.jpg/960px-Adult_White-tailed_Eagle_defending_prey%2C_Rezerwat_Gostynin-Wloclawek%2C_Poland.jpg,"https://commons.wikimedia.org/wiki/File:Adult_White-tailed_Eagle_defending_prey,_Rezerwat_Gostynin-Wloclawek,_Poland.jpg",Original: Andreas Weith. This edit: MPF.,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:Adult White-tailed Eagle defending prey, Rezerwat Gostynin-Wloclawek, Poland.jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Осоед,species_image,species catalog,Осоед,Pernis apivorus,backend/media/species/pernis-apivorus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Herilaseviu..jpg/960px-Herilaseviu..jpg,https://commons.wikimedia.org/wiki/File:Herilaseviu..jpg,Sillerkiil,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Herilaseviu..jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Полевой лунь,species_image,species catalog,Полевой лунь,Circus cyaneus,backend/media/species/circus-cyaneus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Circus_cyaneus_265961899.jpg/960px-Circus_cyaneus_265961899.jpg,https://commons.wikimedia.org/wiki/File:Circus_cyaneus_265961899.jpg,Александр Чегодаев,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,no,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Circus cyaneus 265961899.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Рыжая цапля,species_image,species catalog,Рыжая цапля,Ardea purpurea,backend/media/species/ardea-purpurea.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/2010-kabini-purple-heron.jpg/960px-2010-kabini-purple-heron.jpg,https://commons.wikimedia.org/wiki/File:2010-kabini-purple-heron.jpg,Yathin S Krishnappa,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:2010-kabini-purple-heron.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Свиристель,species_image,species catalog,Свиристель,Bombycilla garrulus,backend/media/species/bombycilla-garrulus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Bohemian_waxwing_%28Bombycilla_garrulus%29%2C_Uitkerke%2C_Belgium_%2816366736689%29.jpg/960px-Bohemian_waxwing_%28Bombycilla_garrulus%29%2C_Uitkerke%2C_Belgium_%2816366736689%29.jpg,"https://commons.wikimedia.org/wiki/File:Bohemian_waxwing_(Bombycilla_garrulus),_Uitkerke,_Belgium_(16366736689).jpg","Frank Vassen from Brussels, Belgium",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:Bohemian waxwing (Bombycilla garrulus), Uitkerke, Belgium (16366736689).jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Седой дятел,species_image,species catalog,Седой дятел,Picus canus,backend/media/species/picus-canus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/%D0%A1%D0%B5%D0%B4%D0%BE%D0%B9_%D0%B4%D1%8F%D1%82%D0%B5%D0%BB.jpg/960px-%D0%A1%D0%B5%D0%B4%D0%BE%D0%B9_%D0%B4%D1%8F%D1%82%D0%B5%D0%BB.jpg,https://commons.wikimedia.org/wiki/File:%D0%A1%D0%B5%D0%B4%D0%BE%D0%B9_%D0%B4%D1%8F%D1%82%D0%B5%D0%BB.jpg,Andrey Tsvirenko,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Седой дятел.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Серая ворона,species_image,species catalog,Серая ворона,Corvus cornix,backend/media/species/corvus-cornix.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Corvus_cornix_%2833515567265%29.jpg/960px-Corvus_cornix_%2833515567265%29.jpg,https://commons.wikimedia.org/wiki/File:Corvus_cornix_(33515567265).jpg,"Donald Hobern from Copenhagen, Denmark",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Corvus cornix (33515567265).jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Серая неясыть,species_image,species catalog,Серая неясыть,Strix aluco,backend/media/species/strix-aluco.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Kautz.jpg/960px-Kautz.jpg,https://commons.wikimedia.org/wiki/File:Kautz.jpg,Alexander Flume,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Kautz.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Серая утка,species_image,species catalog,Серая утка,Mareca strepera,backend/media/species/mareca-strepera.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Anas_strepera_pair.jpg,https://commons.wikimedia.org/wiki/File:Anas_strepera_pair.jpg,Wikimedia Commons contributor,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Anas strepera pair.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Сизый голубь,species_image,species catalog,Сизый голубь,Columba livia,backend/media/species/columba-livia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Columba_livia_%28Rock_Dove%2C_wild%29%2C_Duncansby_Head%2C_Caithness%2C_Scotland_1.jpg/960px-Columba_livia_%28Rock_Dove%2C_wild%29%2C_Duncansby_Head%2C_Caithness%2C_Scotland_1.jpg,"https://commons.wikimedia.org/wiki/File:Columba_livia_(Rock_Dove,_wild),_Duncansby_Head,_Caithness,_Scotland_1.jpg",william_stephens,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,yes,verified,low,use,no,"Wikidata P18; Wikimedia Commons file File:Columba livia (Rock Dove, wild), Duncansby Head, Caithness, Scotland 1.jpg; exact taxon match; normalized to local JPEG without EXIF."
species-image:Снегирь,species_image,species catalog,Снегирь,Pyrrhula pyrrhula,backend/media/species/pyrrhula-pyrrhula.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Bullfinch_male.jpg/960px-Bullfinch_male.jpg,https://commons.wikimedia.org/wiki/File:Bullfinch_male.jpg,Francis Franklin,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Bullfinch male.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Сокол сапсан,species_image,species catalog,Сокол сапсан,Falco peregrinus,backend/media/species/falco-peregrinus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Faucon_pelerin_7_mai.jpg/960px-Faucon_pelerin_7_mai.jpg,https://commons.wikimedia.org/wiki/File:Faucon_pelerin_7_mai.jpg,Georges Lignier (georges.lignier@wanadoo.fr),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Faucon pelerin 7 mai.jpg; exact taxon match; normalized to local JPEG without EXIF.
species-image:Сорока,species_image,species catalog,Сорока,Pica pica,backend/media/species/pica-pica.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Magpie_in_Ladakh.JPG/960px-Magpie_in_Ladakh.JPG,https://commons.wikimedia.org/wiki/File:Magpie_in_Ladakh.JPG,T R Shankar Raman,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,verified,low,use,no,Wikidata P18; Wikimedia Commons file File:Magpie in Ladakh.JPG; exact taxon match; normalized to local JPEG without EXIF.
